NOMBRE,ZONIFICACION,description,timestamp,begin,end,altitudeMode,tessellate,extrude,visibility,drawOrder,icon
OLAYA ST. RAFAEL NUŃEZ,CTG_RNE,-1,-1,,,,,,,,
OLAYA VILLA OLIMPICA,CTG_RNE,-1,-1,,,,,,,,
OLAYA ST.11 DE NOVIEMBRE,CTG_RNE,-1,-1,,,,,,,,
OLAYA ST. RICAURTE,CTG_RNE,-1,-1,,,,,,,,
OLAYA ST. CENTRAL,CTG_13J,-1,-1,,,,,,,,
OLAYA ST. LA MAGDALENA,CTG_13J,-1,-1,,,,,,,,
OLAYA ST. LA PUNTILLA,CTG_13J,-1,-1,,,,,,,,
OLAYA ST. PROGRESO,CTG_13J,-1,-1,,,,,,,,
OLAYA ST. STELLA,CTG_13J,-1,-1,,,,,,,,
OLAYA ST. ZARABANDA,CTG_13J,-1,-1,,,,,,,,
VILLA HERMOSA,CTG_NEM,-1,-1,,,,,,,,
MAMONAL,CTG_ZID,-1,-1,,,,,,,,
OLAYA ST. PLAYA BLANCA,CTG_13J,-1,-1,,,,,,,,
CIUDADELA 2000,CTG_2000,-1,-1,,,,,,,,
PROVIDENCIA,CTG_PRV,-1,-1,,,,,,,,
LA CAROLINA,CTG_CAR,-1,-1,,,,,,,,
MANGA,CTG_MNG,-1,-1,,,,,,,,
CASTILLOGRANDE,CTG_BCL,-1,-1,,,,,,,,
PIE DEL CERRO,CTG_MNG,-1,-1,,,,,,,,
EL BOSQUE,CTG_BSQ,-1,-1,,,,,,,,
ALBORNOZ,CTG_ZID,-1,-1,,,,,,,,
VILLA ROSA,CTG_HNQ,-1,-1,,,,,,,,
HENEQUEN,CTG_HNQ,-1,-1,,,,,,,,
ANTONIO JOSE DE SUCRE,CTG_20J,-1,-1,,,,,,,,
EL LIBERTADOR,CTG_HNQ,-1,-1,,,,,,,,
BELLAVISTA,CTG_20J,-1,-1,,,,,,,,
LA INDIA,CTG_PZN,-1,-1,,,,,,,,
FLOR DEL CAMPO,CTG_PZN,-1,-1,,,,,,,,
CIUDAD BICENTENARIO,CTG_PZN,-1,-1,,,,,,,,
URBANIZACION COLOMBIATON,CTG_PZN,-1,-1,,,,,,,,
VILLAS DE LA CANDELARIA,CTG_PZN,-1,-1,,,,,,,,
ZONA INDUSTRIAL,CTG_ZID,-1,-1,,,,,,,,
MEMBRILLAL,CTG_ZID,-1,-1,,,,,,,,
PASACABALLOS,CTG_ZID,-1,-1,,,,,,,,
SANTANA,CTG_CORG,-1,-1,,,,,,,,
BARU,CTG_CORG,-1,-1,,,,,,,,
ARARCA,CTG_CORG,-1,-1,,,,,,,,
LETICIA,CTG_CORG,-1,-1,,,,,,,,
RECREO,CTG_CORG,-1,-1,,,,,,,,
BOCACHICA,CTG_CORG,-1,-1,,,,,,,,
CAŃO DEL ORO,CTG_CORG,-1,-1,,,,,,,,
TIERRA BOMBA,CTG_CORG,-1,-1,,,,,,,,
PUNTA ARENAS,CTG_CORG,-1,-1,,,,,,,,
MANZANILLO DEL MAR,CTG_NOR,-1,-1,,,,,,,,
TIERRA BAJA,CTG_CORG,-1,-1,,,,,,,,
PUERTO REY,CTG_CORG,-1,-1,,,,,,,,
PONTEZUELA,CTG_CORG,-1,-1,,,,,,,,
BAYUNCA,CTG_CORG,-1,-1,,,,,,,,
ARROYO GRANDE,CTG_CORG,-1,-1,,,,,,,,
ARROYO DE PIEDRA,CTG_CORG,-1,-1,,,,,,,,
ARROYO DE LAS CANOAS,CTG_CORG,-1,-1,,,,,,,,
LA BOQUILLA,CTG_NOR,-1,-1,,,,,,,,
LAS EUROPAS,CTG_CORG,-1,-1,,,,,,,,
PUNTA CANOA,CTG_CORG,-1,-1,,,,,,,,
ISLAS DEL ROSARIO,CTG_CORG,-1,-1,,,,,,,,
ARCHIPIELAGO SAN BERNARDO,CTG_CORG,-1,-1,,,,,,,,
ISLA FUERTE,CTG_CORG,-1,-1,,,,,,,,
